


Save Time :2026-04-30 12:19:27
User Name :fmboma

Date,Whole Network,Integrity,Radio Net Availability Rate(%),RRC Setup Success Rate(all),RRC Setup Success Rate(Service)[%],RRC Setup Success Rate(Signal)[%],E-RAB Setup Success Rate (ALL)(%),Call Drop Rate (All)(%),HO Success Rate(Intra Freqency),HO Success Rate(S1)[%],L.Traffic.User.Avg,L.Traffic.User.Max,DL Traffic Volume(Gbit),UL Traffic Volume(Gbit),Total Traffic (Gbit),User DL PDCP Average Throughput,User UL PDCP Average Throughput,Paging Transfer Success Rate,DL IBLER[%],UL IBLER[%],DL ReTrans Rate[%],DL Packet Loss Rate(all),UL Packet Loss Rate(all),DL PRB Usage Rate(%),UL PRB Usage Rate(%),PUCCHUsage Rate[%],PDCCH CCE Usage Rate[%],Average CQI,Average PDSCH MCS
2026-04-23,Whole Network,99%,96.4618,99.0855,99.763,96.3486,99.4859,1.1623,99.6082,95.4466,30256.4547,65933,956843.3136,106205.6034,1063048.917,6.1645,3.5924,99.9738,14.7131,7.1332,0.1777,0,0,32.9876,49.3301,7564.1138,24.1762,10.5518,13.0524
2026-04-24,Whole Network,99%,95.9199,99.0909,99.7917,96.2016,99.5024,1.2061,99.5809,94.8612,29086.5044,62677,880580.5754,103218.3504,983798.9258,6.4407,3.4072,99.9697,14.7389,7.077,0.1775,0,0,30.4215,49.368,7271.626,23.5719,10.5996,13.2144
2026-04-25,Whole Network,99%,95.8478,99.0793,99.7841,96.095,99.5094,1.155,99.5374,94.9477,28991.7561,61804,975444.2405,106204.3823,1081648.6227,6.411,3.5601,99.9742,14.627,7.1918,0.1765,0,0,32.9697,49.499,7247.9391,23.8065,10.5378,13.099
2026-04-26,Whole Network,99%,95.9508,98.9661,99.6885,95.8928,99.4199,1.1079,99.5176,94.3713,28785.9259,62294,935924.446,104443.2133,1040367.6593,6.3805,3.4704,99.9693,14.5899,7.3636,0.1759,0,0,31.7769,49.4446,7196.4819,23.3676,10.5652,13.1122
2026-04-27,Whole Network,99%,96.8654,99.1008,99.7682,96.2725,99.3709,1.1606,99.5797,94.4572,29562.7554,66312,926802.2365,106889.1414,1033691.3779,6.3627,3.6014,99.9694,14.526,7.1443,0.1746,0,0,31.4609,49.4836,7390.689,23.3918,10.5777,13.243
2026-04-28,Whole Network,99%,97.5431,99.0457,99.7743,96.0425,99.4392,1.2316,99.5448,94.5701,29964.609,66092,942640.8792,106339.1094,1048979.9886,6.2214,3.4653,99.9638,14.5758,7.5289,0.1758,0,0,31.826,49.5357,7491.1522,23.7216,10.5728,13.2415
2026-04-29,Whole Network,99%,96.9425,98.9265,99.7079,95.6198,99.432,1.2844,99.5113,94.9579,29563.4203,66412,935051.1514,105644.1301,1040695.2815,6.1717,3.4034,99.9647,14.7875,7.7685,0.1802,0,0,31.678,49.3752,7390.8552,23.8498,10.5626,13.124
Total 7 Records
